num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count
200,10,random,100,103.75877356529236,76,283322.3457576089,7209.609304540315,276112.73645306856,0.0,16,184,0
200,10,random,100,103.75877356529236,77,283317.979807964,7209.350077834473,276108.6297301297,0.0,16,184,0
200,10,random,100,103.75877356529236,78,283320.6083287278,7209.67004356152,276110.93828516634,0.0,16,184,0
200,10,random,100,103.75877356529236,79,283318.33058113925,7209.246198043429,276109.0843830959,0.0,16,184,0
200,10,random,100,103.75877356529236,80,284371.8115488346,6759.575740800534,277612.2358080341,0.0,15,185,0
200,10,random,100,103.75877356529236,81,284370.11412015266,6759.253382899991,277610.86073725263,0.0,15,185,0
200,10,random,100,103.75877356529236,82,284371.25669188116,6758.977709403532,277612.2789824776,0.0,15,185,0
200,10,random,100,103.75877356529236,83,284368.92512884253,6758.9037598081595,277610.02136903437,0.0,15,185,0
200,10,random,100,103.75877356529236,84,284369.5044309703,6759.66463406986,277609.8397969005,0.0,15,185,0
200,10,random,100,103.75877356529236,85,275970.6165571397,10363.313867582572,265607.30268955714,0.0,23,177,0
200,10,random,100,103.75877356529236,86,275970.58966217504,10363.438187883887,265607.15147429117,0.0,23,177,0
200,10,random,100,103.75877356529236,87,275971.8608092316,10363.818736502753,265608.0420727288,0.0,23,177,0
200,10,random,100,103.75877356529236,88,275970.4493469585,10363.664158992786,265606.78518796567,0.0,23,177,0
200,10,random,100,103.75877356529236,89,275971.05681892874,10363.299672704023,265607.75714622467,0.0,23,177,0
200,10,random,100,103.75877356529236,90,282268.6510074285,7660.258253833885,274608.39275359455,0.0,17,183,0
200,10,random,100,103.75877356529236,91,282270.9205613676,7659.71784119192,274611.2027201757,0.0,17,183,0
200,10,random,100,103.75877356529236,92,282270.3858583997,7659.868928941043,274610.51692945865,0.0,17,183,0
200,10,random,100,103.75877356529236,93,282270.9559297688,7660.012003701015,274610.94392606785,0.0,17,183,0
200,10,random,100,103.75877356529236,94,282268.91836697364,7660.242636333376,274608.6757306403,0.0,17,183,0
200,10,random,100,103.75877356529236,95,279122.29031614127,9011.941086420798,270110.34922972054,0.0,20,180,0
200,10,random,100,103.75877356529236,96,279119.99101946893,9011.887797410656,270108.10322205833,0.0,20,180,0
200,10,random,100,103.75877356529236,97,279119.40858383814,9011.777860866618,270107.6307229715,0.0,20,180,0
200,10,random,100,103.75877356529236,98,279120.02703943575,9011.60563759116,270108.42140184453,0.0,20,180,0
200,10,random,100,103.75877356529236,99,279119.58598634426,9011.782250308537,270107.8037360357,0.0,20,180,0
200,10,random,100,103.75877356529236,100,282267.0487719054,7659.457254986511,274607.591516919,0.0,17,183,0
200,10,round_robin,100,103.71032571792603,1,30117.866326460262,0.0,0.0,30117.866326460262,0,0,200
200,10,round_robin,100,103.71032571792603,2,30117.77605314237,0.0,0.0,30117.77605314237,0,0,200
200,10,round_robin,100,103.71032571792603,3,30117.7050352051,0.0,0.0,30117.7050352051,0,0,200
200,10,round_robin,100,103.71032571792603,4,30117.679982321923,0.0,0.0,30117.679982321923,0,0,200
200,10,round_robin,100,103.71032571792603,5,300117.65320909896,0.0,300117.65320909896,0.0,0,200,0
200,10,round_robin,100,103.71032571792603,6,300117.62257653935,0.0,300117.62257653935,0.0,0,200,0
200,10,round_robin,100,103.71032571792603,7,300117.6097199129,0.0,300117.6097199129,0.0,0,200,0
200,10,round_robin,100,103.71032571792603,8,300117.60846769833,0.0,300117.60846769833,0.0,0,200,0
200,10,round_robin,100,103.71032571792603,9,300117.6043122061,0.0,300117.6043122061,0.0,0,200,0
200,10,round_robin,100,103.71032571792603,10,90117.63856237775,90117.63856237775,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,11,90117.6955450462,90117.6955450462,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,12,90117.74751971243,90117.74751971243,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,13,90117.78016938039,90117.78016938039,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,14,90117.8424240376,90117.8424240376,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,15,90117.89403776209,90117.89403776209,0.0,0.0,200,0,0
200,10,round_robin,100,103.71032571792603,16,90117.92760091688,90117.92760091688,0.0,0.0,200,0,0
